segment_id,EventId,latitude,longitude,latitudeX,longitudeX,address,point,road,suburb,town,county,state,postcode,country,country_code
X4UA382,60564,-33.885498212399995,18.6384711081,-33.885,18.638,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec4d09f90>,"{'place_id': 93711760, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 29045356, 'lat': '-33.88515819600147', 'lon': '18.637961221947148', 'display_name': 'Springfield Road, Cape Town Ward 21, Bellville, City of Cape Town, Western Cape, 7530, South Africa', 'address': {'road': 'Springfield Road', 'suburb': 'Cape Town Ward 21', 'town': 'Bellville', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7530', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.885247', '-33.8847679', '18.636369', '18.6383235']}",Springfield Road,Cape Town Ward 21,Bellville,City of Cape Town,Western Cape,7530,South Africa,za
SPPGKO2,60578,-33.8550222056,18.5314049754,-33.855,18.531,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec4d09450>,"{'place_id': 186346427, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 449113457, 'lat': '-33.85507480482218', 'lon': '18.53139903687321', 'display_name': 'N7, Milnerton, Cape Town, City of Cape Town, Western Cape, 7441, South Africa', 'address': {'road': 'N7', 'suburb': 'Milnerton', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7441', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8679199', '-33.8548963', '18.5294725', '18.5314325']}",N7,Milnerton,,City of Cape Town,Western Cape,7441,South Africa,za
T64WM0N,60684,-33.7964998646,18.8822408393,-33.796,18.882,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec4d07b90>,"{'place_id': 85795997, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 13755670, 'lat': '-33.79653267682051', 'lon': '18.88209514545043', 'display_name': 'N1, Stellenbosch Ward 18, Stellenbosch Local Municipality, Cape Winelands District Municipality, Western Cape, 7089, South Africa', 'address': {'road': 'N1', 'suburb': 'Stellenbosch Ward 18', 'city': 'Stellenbosch Local Municipality', 'county': 'Cape Winelands District Municipality', 'state': 'Western Cape', 'postcode': '7089', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.7984478', '-33.7756672', '18.8707728', '18.9574603']}",N1,Stellenbosch Ward 18,,Cape Winelands District Municipality,Western Cape,7089,South Africa,za
MC84I0T,60701,-34.0684041933,18.8106954028,-34.068,18.811,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec4d07050>,"{'place_id': 170656496, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 361482200, 'lat': '-34.06804011340446', 'lon': '18.810976236552776', 'display_name': 'Old Main Road, Paardevlei, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7130, South Africa', 'address': {'road': 'Old Main Road', 'neighbourhood': 'Paardevlei', 'suburb': 'Cape Town Ward 15', 'town': 'Somerset West', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7130', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.0737292', '-34.0610684', '18.799212', '18.8205528']}",Old Main Road,Cape Town Ward 15,Somerset West,City of Cape Town,Western Cape,7130,South Africa,za
I25JSGF,60763,-34.1271048396,18.8982419911,-34.127,18.898,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec4d09950>,"{'place_id': 167419064, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 356740851, 'lat': '-34.12704647348048', 'lon': '18.897984397557003', 'display_name': ""N2, Cape Town Ward 100, Sir Lowry's Pass, City of Cape Town, Western Cape, 7150, South Africa"", 'address': {'road': 'N2', 'suburb': 'Cape Town Ward 100', 'village': ""Sir Lowry's Pass"", 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7150', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.1286827', '-34.1258817', '18.894515', '18.9028587']}",N2,Cape Town Ward 100,,City of Cape Town,Western Cape,7150,South Africa,za
WE8VOFH,60774,-33.9998440464,18.6267683929,-34.0,18.627,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec0d93f50>,"{'place_id': 274342256, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 765505481, 'lat': '-34.0001688', 'lon': '18.6266673', 'display_name': 'Cape Town Ward 35, Cape Town, City of Cape Town, Western Cape, 7100, South Africa', 'address': {'suburb': 'Cape Town Ward 35', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7100', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.000803', '-34.0001688', '18.6261911', '18.6266673']}",,Cape Town Ward 35,,City of Cape Town,Western Cape,7100,South Africa,za
EZG7A38,61067,-33.9987325639,18.6366946623,-33.999,18.637,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec57849d0>,"{'place_id': 131555647, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 187742060, 'lat': '-34.000010599999996', 'lon': '18.652973504560617', 'display_name': 'Driftsands Nature Reserve, Kuils River Freeway, Cape Town Ward 19, Kuilsrivier, City of Cape Town, Western Cape, 7100, South Africa', 'address': {'nature_reserve': 'Driftsands Nature Reserve', 'road': 'Kuils River Freeway', 'suburb': 'Cape Town Ward 19', 'town': 'Kuilsrivier', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7100', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.0117721', '-33.9882432', '18.637498', '18.6718372']}",Kuils River Freeway,Cape Town Ward 19,Kuilsrivier,City of Cape Town,Western Cape,7100,South Africa,za
M223F8G,61302,-33.9374518356,18.4545136712,-33.937,18.455,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec5bae250>,"{'place_id': 82883283, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 6281419, 'lat': '-33.9367713307657', 'lon': '18.454663933473636', 'display_name': 'Queens Park Road, Cape Town Ward 57, Cape Town, City of Cape Town, Western Cape, 7925, South Africa', 'address': {'road': 'Queens Park Road', 'suburb': 'Cape Town Ward 57', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7925', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.937141', '-33.9329639', '18.4544124', '18.4572939']}",Queens Park Road,Cape Town Ward 57,,City of Cape Town,Western Cape,7925,South Africa,za
VUYACXV,61316,-34.0444818879,18.7485023067,-34.044,18.749,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec55ee490>,"{'place_id': 81304447, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4288087, 'lat': '-34.044562987646074', 'lon': '18.74885979365677', 'display_name': 'N2, Croydon Olive Estate, Cape Town Ward 109, Eersterivier, City of Cape Town, Western Cape, 7129, South Africa', 'address': {'road': 'N2', 'neighbourhood': 'Croydon Olive Estate', 'suburb': 'Cape Town Ward 109', 'town': 'Eersterivier', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7129', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.0505711', '-34.0432682', '18.7384269', '18.7606813']}",N2,Cape Town Ward 109,Eersterivier,City of Cape Town,Western Cape,7129,South Africa,za
S4MOE5G,61532,-33.8325131956,18.7465853364,-33.833,18.747,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec5782f50>,"{'place_id': 81608977, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4315627, 'lat': '-33.83245455281712', 'lon': '18.74684810111966', 'display_name': 'N1, Cape Town Ward 101, Stellenbosch Local Municipality, City of Cape Town, Western Cape, 7570, South Africa', 'address': {'road': 'N1', 'suburb': 'Cape Town Ward 101', 'city': 'Stellenbosch Local Municipality', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7570', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8384734', '-33.798667', '18.7261517', '18.8706849']}",N1,Cape Town Ward 101,,City of Cape Town,Western Cape,7570,South Africa,za
