segment_id,EventId,latitude,longitude,latitudeX,longitudeX,address,point,road,suburb,city,county,state,postcode,country,country_code
GX2UELI,147940,-33.8326145095,18.7454934845,-33.833,18.745,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbd61fd0>,"{'place_id': 81608977, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4315627, 'lat': '-33.83297143653896', 'lon': '18.744992045503423', 'display_name': 'N1, Cape Town Ward 101, Stellenbosch Local Municipality, City of Cape Town, Western Cape, 7570, South Africa', 'address': {'road': 'N1', 'suburb': 'Cape Town Ward 101', 'city': 'Stellenbosch Local Municipality', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7570', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8384734', '-33.798667', '18.7261517', '18.8706849']}",N1,Cape Town Ward 101,Stellenbosch Local Municipality,City of Cape Town,Western Cape,7570,South Africa,za
P0XX6RS,147949,-33.9789626811,18.6525234611,-33.979,18.653,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbd61990>,"{'place_id': 95073239, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 32813287, 'lat': '-33.978622674070834', 'lon': '18.653072224759523', 'display_name': 'Hindle Road, Cape Town Ward 108, Blue Downs, City of Cape Town, Western Cape, 7100, South Africa', 'address': {'road': 'Hindle Road', 'suburb': 'Cape Town Ward 108', 'town': 'Blue Downs', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7100', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9788797', '-33.9785783', '18.6528404', '18.6544126']}",Hindle Road,Cape Town Ward 108,,City of Cape Town,Western Cape,7100,South Africa,za
FWO1XRQ,147950,-33.8874529564,18.6757512824,-33.887,18.676,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbd61f90>,"{'place_id': 80276811, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4317074, 'lat': '-33.88711398070154', 'lon': '18.675623792545778', 'display_name': 'Kuils River Freeway, Cape Town Ward 8, Brackenfell, City of Cape Town, Western Cape, 7560, South Africa', 'address': {'road': 'Kuils River Freeway', 'suburb': 'Cape Town Ward 8', 'town': 'Brackenfell', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7560', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8897071', '-33.8814212', '18.673967', '18.6764035']}",Kuils River Freeway,Cape Town Ward 8,,City of Cape Town,Western Cape,7560,South Africa,za
YLQRLAD,147954,-33.9368954511,18.4826135551,-33.937,18.483,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbce7550>,"{'place_id': 81293964, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 4265561, 'lat': '-33.93707105145375', 'lon': '18.482889971253023', 'display_name': 'Black River Parkway, Observatory, Cape Town, City of Cape Town, Western Cape, 7925, South Africa', 'address': {'road': 'Black River Parkway', 'suburb': 'Observatory', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7925', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.939634', '-33.9361898', '18.4823209', '18.4839434']}",Black River Parkway,Observatory,Cape Town,City of Cape Town,Western Cape,7925,South Africa,za
87Z5O7Q,147968,-33.8860660919,18.5268247006,-33.886,18.527,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbce7a10>,"{'place_id': 200085662, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 540006188, 'lat': '-33.88598221689502', 'lon': '18.52699342145272', 'display_name': 'N1, Summer Greens, Cape Town, City of Cape Town, Western Cape, 2251, South Africa', 'address': {'road': 'N1', 'suburb': 'Summer Greens', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '2251', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8898628', '-33.885169', '18.521438', '18.5312007']}",N1,Summer Greens,Cape Town,City of Cape Town,Western Cape,2251,South Africa,za
WRJK3P3,147974,-34.0777827697,18.8219704922,-34.078,18.822,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbaf8510>,"{'place_id': 170114086, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 361482187, 'lat': '-34.07790438528764', 'lon': '18.822086348984232', 'display_name': 'N2, Paardevlei, Cape Town Ward 15, Somerset West, City of Cape Town, Western Cape, 7130, South Africa', 'address': {'road': 'N2', 'neighbourhood': 'Paardevlei', 'suburb': 'Cape Town Ward 15', 'town': 'Somerset West', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7130', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-34.0795649', '-34.0739344', '18.8177053', '18.8239267']}",N2,Cape Town Ward 15,,City of Cape Town,Western Cape,7130,South Africa,za
5XWBAKZ,147978,-33.9501903711,18.5172597068,-33.95,18.517,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec5782350>,"{'place_id': 122149037, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 151153536, 'lat': '-33.950050174317084', 'lon': '18.516998503573', 'display_name': 'Settlers Way, Kewtown, Cape Town, City of Cape Town, Western Cape, 7455, South Africa', 'address': {'road': 'Settlers Way', 'suburb': 'Kewtown', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7455', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.9501827', '-33.9500378', '18.5165836', '18.5215466']}",Settlers Way,Kewtown,Cape Town,City of Cape Town,Western Cape,7455,South Africa,za
CCMG98M,147979,-33.8885952566,18.5226357965,-33.889,18.523,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec5e08390>,"{'place_id': 230852427, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 738356094, 'lat': '-33.88885664448175', 'lon': '18.522867850591872', 'display_name': 'N1, Acacia Park, Cape Town, City of Cape Town, Western Cape, 2251, South Africa', 'address': {'road': 'N1', 'suburb': 'Acacia Park', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '2251', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8902092', '-33.8872096', '18.5214006', '18.5249162']}",N1,Acacia Park,Cape Town,City of Cape Town,Western Cape,2251,South Africa,za
4SJWPE0,147981,-33.8956811514,18.5151693039,-33.896,18.515,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ec5ba0f90>,"{'place_id': 202177415, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 540227715, 'lat': '-33.89605896884073', 'lon': '18.515054350704464', 'display_name': 'N1, Acacia Park, Cape Town, City of Cape Town, Western Cape, 2251, South Africa', 'address': {'road': 'N1', 'suburb': 'Acacia Park', 'city': 'Cape Town', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '2251', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8963546', '-33.8953154', '18.5147336', '18.5158611']}",N1,Acacia Park,Cape Town,City of Cape Town,Western Cape,2251,South Africa,za
92BILMX,147982,-33.8833307215,18.6745098192,-33.883,18.675,<geopy.extra.rate_limiter.RateLimiter object at 0x7f7ebbc4d0d0>,"{'place_id': 97156951, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright', 'osm_type': 'way', 'osm_id': 35796097, 'lat': '-33.88293860498969', 'lon': '18.675189661059513', 'display_name': 'Janie Street, Cape Town Ward 8, Brackenfell, City of Cape Town, Western Cape, 7560, South Africa', 'address': {'road': 'Janie Street', 'suburb': 'Cape Town Ward 8', 'town': 'Brackenfell', 'county': 'City of Cape Town', 'state': 'Western Cape', 'postcode': '7560', 'country': 'South Africa', 'country_code': 'za'}, 'boundingbox': ['-33.8852018', '-33.8792817', '18.6742418', '18.6767202']}",Janie Street,Cape Town Ward 8,,City of Cape Town,Western Cape,7560,South Africa,za
