segment_id,length_1
D1U6OOF,471.207
NG4X2MD,471.207
792705Z,471.207
IK67XHB,471.207
OWCF2MH,471.207
MORJH71,471.207
49ZDYOH,471.207
KL4UM68,471.207
V5A8ZZZ,471.207
XYFQJ1Q,469.92
HN83F3L,510.525
WLFBY9T,510.525
JCFWX6E,510.525
YQRHLO2,510.525
XKFABCI,510.525
UXERJVK,510.525
RZK0UM0,510.525
ZL4WLO2,548.918
LAZLJ7E,548.918
G850GMA,548.918
S4MOE5G,548.918
BN3EJU4,548.918
DD8YXZF,548.918
G181X8F,548.918
V19MLWF,548.918
L4CWZBU,548.918
BUJJNEA,548.918
KFYGRO8,548.918
QM4QKAZ,539.311
HB933EE,539.311
M43AKN2,539.311
MM6HDEQ,539.311
Z13SS1G,539.311
HSJ0WM7,539.311
IXSLKS7,539.311
WHW1BZK,539.311
NCMIGB7,584.9
9PORL0H,584.9
AEDN7D7,584.9
3YS1KQ9,584.9
TD8YB0R,506.654
YQCBO2Y,506.654
T182CUC,506.654
0W39BFY,506.654
6A90XDM,506.654
OBXISZN,506.654
O271SQN,506.654
74A6FL0,506.654
LFUJ30W,506.654
WJBR1L2,506.654
GPYNUA8,506.654
5Y5V87D,506.654
OD60AK9,506.654
IQEYE3S,506.654
QDRC5UW,506.654
FWO1XRQ,506.654
92BILMX,506.654
0TAWLCK,506.654
6SV0XZ0,506.654
8ITYQ2Z,487.413
CJ0BLSW,487.413
ZT6MOAL,487.413
1G21L7Q,487.413
JJGXEJ4,487.413
JRZWRIW,487.413
SPPGKO2,487.413
LK5JIX6,487.413
WO118LR,487.413
IQS1GLY,487.413
77YRHPV,487.413
5HTE1IC,487.413
1BJRIL1,487.413
VODEAWO,487.413
812PNMZ,487.413
K2E55RT,487.413
XZZ3D4U,487.413
EVANFZB,487.413
EUXS47I,487.413
CK5WH39,487.413
CJJI1XY,575.848
QBSA1OR,575.848
43RCYZH,575.848
H983665,575.848
4NSOFJG,575.848
