segment_id,surftype
D1U6OOF,Paved
NG4X2MD,Paved
792705Z,Paved
IK67XHB,Paved
OWCF2MH,Paved
MORJH71,Paved
49ZDYOH,Paved
KL4UM68,Paved
V5A8ZZZ,Paved
XYFQJ1Q,Paved
HN83F3L,Paved
WLFBY9T,Paved
JCFWX6E,Paved
YQRHLO2,Paved
XKFABCI,Paved
UXERJVK,Paved
RZK0UM0,Paved
ZL4WLO2,Paved
LAZLJ7E,Paved
G850GMA,Paved
S4MOE5G,Paved
BN3EJU4,Paved
DD8YXZF,Paved
G181X8F,Paved
V19MLWF,Paved
L4CWZBU,Paved
BUJJNEA,Paved
KFYGRO8,Paved
QM4QKAZ,Paved
HB933EE,Paved
M43AKN2,Paved
MM6HDEQ,Paved
Z13SS1G,Paved
HSJ0WM7,Paved
IXSLKS7,Paved
WHW1BZK,Paved
NCMIGB7,Paved
9PORL0H,Paved
AEDN7D7,Paved
3YS1KQ9,Paved
TD8YB0R,Paved
YQCBO2Y,Paved
T182CUC,Paved
0W39BFY,Paved
6A90XDM,Paved
OBXISZN,Paved
O271SQN,Paved
74A6FL0,Paved
LFUJ30W,Paved
WJBR1L2,Paved
GPYNUA8,Paved
5Y5V87D,Paved
OD60AK9,Paved
IQEYE3S,Paved
QDRC5UW,Paved
FWO1XRQ,Paved
92BILMX,Paved
0TAWLCK,Paved
6SV0XZ0,Paved
8ITYQ2Z,Paved
CJ0BLSW,Paved
ZT6MOAL,Paved
1G21L7Q,Paved
JJGXEJ4,Paved
JRZWRIW,Paved
SPPGKO2,Paved
LK5JIX6,Paved
WO118LR,Paved
IQS1GLY,Paved
77YRHPV,Paved
5HTE1IC,Paved
1BJRIL1,Paved
VODEAWO,Paved
812PNMZ,Paved
K2E55RT,Paved
XZZ3D4U,Paved
EVANFZB,Paved
EUXS47I,Paved
CK5WH39,Paved
CJJI1XY,Paved
QBSA1OR,Paved
43RCYZH,Paved
H983665,Paved
4NSOFJG,Paved
PH8DIYU,Paved
5VK3U7Q,Paved
2FN9T8O,Paved
50TVADD,Paved
DRFEFT4,Paved
G2LL3S8,Paved
9484GS3,Paved
P7RBBFB,Paved
XTTWKZM,Paved
2M1UBKJ,Paved
Q0VL8BD,Paved
6EAJWW6,Paved
VU4GFO5,Paved
2Q8T4YB,Paved
LUOEP7G,Paved
RY0TRQ8,Paved
4ZR4GL4,Paved
WG6X4Y0,Paved
JZGFZ7Z,Paved
NRWU3QW,Paved
PD4MTSH,Paved
31F34EZ,Paved
RO046L9,Paved
IKN5JDM,Paved
AZ1BUKH,Paved
RB56HQI,Paved
9LMPLRW,Paved
J2L78G3,Paved
EJUD4D6,Paved
VMCY8BI,Paved
PRUSMVO,Paved
E4L0I98,Paved
JTY12HG,Paved
TRTR582,Paved
SY568EU,Paved
LC8FONX,Paved
XTZ54JY,Paved
