segment_id,roadno
D1U6OOF,R300
NG4X2MD,R300
792705Z,R300
IK67XHB,R300
OWCF2MH,R300
MORJH71,R300
49ZDYOH,R300
KL4UM68,R300
V5A8ZZZ,R300
XYFQJ1Q,N1
HN83F3L,N1
WLFBY9T,N1
JCFWX6E,N1
YQRHLO2,N1
XKFABCI,N1
UXERJVK,N1
RZK0UM0,N1
ZL4WLO2,N1
LAZLJ7E,N1
G850GMA,N1
S4MOE5G,N1
BN3EJU4,N1
DD8YXZF,N1
G181X8F,N1
V19MLWF,N1
L4CWZBU,N1
BUJJNEA,N1
KFYGRO8,N1
QM4QKAZ,R300
HB933EE,R300
M43AKN2,R300
MM6HDEQ,R300
Z13SS1G,R300
HSJ0WM7,R300
IXSLKS7,R300
WHW1BZK,R300
NCMIGB7,R300
9PORL0H,R300
AEDN7D7,R300
3YS1KQ9,R300
TD8YB0R,R300
YQCBO2Y,R300
T182CUC,R300
0W39BFY,R300
6A90XDM,R300
OBXISZN,R300
O271SQN,R300
74A6FL0,R300
LFUJ30W,R300
WJBR1L2,R300
GPYNUA8,R300
5Y5V87D,R300
OD60AK9,R300
IQEYE3S,R300
QDRC5UW,R300
FWO1XRQ,R300
92BILMX,R300
0TAWLCK,R300
6SV0XZ0,R300
8ITYQ2Z,N7
CJ0BLSW,N7
ZT6MOAL,N7
1G21L7Q,N7
JJGXEJ4,N7
JRZWRIW,N7
SPPGKO2,N7
LK5JIX6,N7
WO118LR,N7
IQS1GLY,N7
77YRHPV,N7
5HTE1IC,N7
1BJRIL1,N7
VODEAWO,N7
812PNMZ,N7
K2E55RT,N7
XZZ3D4U,N7
EVANFZB,N7
EUXS47I,N7
CK5WH39,N7
CJJI1XY,N1
QBSA1OR,N1
43RCYZH,N1
H983665,N1
4NSOFJG,N1
PH8DIYU,R300
5VK3U7Q,R300
2FN9T8O,R300
50TVADD,R300
DRFEFT4,R300
G2LL3S8,R300
9484GS3,R300
P7RBBFB,R300
XTTWKZM,R300
2M1UBKJ,R300
Q0VL8BD,R300
6EAJWW6,R300
VU4GFO5,R300
2Q8T4YB,R300
LUOEP7G,R300
RY0TRQ8,R300
4ZR4GL4,R300
WG6X4Y0,R300
JZGFZ7Z,R300
NRWU3QW,R300
PD4MTSH,R300
31F34EZ,N1
RO046L9,N1
IKN5JDM,N1
AZ1BUKH,N1
RB56HQI,N1
9LMPLRW,N1
J2L78G3,N1
EJUD4D6,N1
VMCY8BI,N1
PRUSMVO,N1
E4L0I98,N1
JTY12HG,N1
TRTR582,N1
SY568EU,N1
LC8FONX,N1
XTZ54JY,N1
AGD8UQ2,N1
ULMQMUT,N1
