suburb,segment_id
Cape Town Ward 57,03RHJ3G
N1 City,044ZYVD
Cape Town Ward 115,086LLYS
Brooklyn,0B0QOEN
Cape Town Ward 109,0F3OY57
Stellenbosch Ward 18,0FF63NM
Acacia Park,0GZ5KS3
Cape Town Ward 16,0ICKV72
Cape Town Ward 101,0OH5J23
Cape Town Ward 15,0PU7VDI
Cape Town Ward 116,0QQIE2L
Cape Town Ward 57,0QR8FDW
Zonnebloem,0ROEFOK
Cape Town Ward 3,0TAWLCK
Kewtown,0TMS99B
Cape Town Ward 12,0W39BFY
Stellenbosch Ward 18,1451FOG
Cape Town Ward 15,16WNX7T
Brooklyn,1BB1WRK
Richwood,1BJRIL1
Cape Town Ward 115,1DDYC6F
Milnerton,1G21L7Q
Cape Town Ward 109,1JRNIP6
Cape Town Ward 31,1K4ZYII
Cape Town Ward 100,1NG8I9K
Cape Town Ward 57,1Q44FGG
Brooklyn,1QSGDUE
Maitland,1RWEBRU
Drakenstein Ward 28,1S5XWTK
Cape Town Ward 84,1VFLTND
Cape Town Ward 102,24P30PE
Cape Town Ward 31,2B7HTHS
Cape Town Ward 109,2BTEHF3
Cape Town Ward 116,2FN9T8O
Cape Town Ward 15,2J6C2D5
Cape Town Ward 12,2M1UBKJ
Montague,2M4LCU0
Drakenstein Ward 27,2MHBCT2
Cape Town Ward 57,2NHF7YC
City Centre,2ON8NSO
Cape Town Ward 3,2Q8T4YB
Brooklyn,2XKQDM5
Bonteheuwel,2YQQ9WS
Cape Town Ward 101,31F34EZ
Cape Town Ward 115,327YML6
Mowbray,396D4HI
Cape Town Ward 101,3A5K1RU
Maitland,3BMH2Q5
Cape Town Ward 109,3GCD5AD
Cape Town Ward 109,3IQ1GWG
Cape Town Ward 15,3L7MZUR
Cape Town Ward 84,3MW0MN9
Drakenstein Ward 27,3NAG1R5
Cape Town Ward 109,3QSXJH3
Cape Town Ward 102,3VORNT0
Cape Town Ward 84,3WK9HI2
Cape Town Ward 18,3YS1KQ9
Cape Town Ward 102,3ZQNS8O
Drakenstein Ward 25,43RCYZH
Cape Town Ward 100,47SP0JH
Cape Town Ward 12,49ZDYOH
Cape Town Ward 19,4A66E8Q
Paarden Eiland,4HHV563
Cape Town Ward 114,4K0TGLP
Cape Town Ward 114,4K39AFD
Drakenstein Ward 28,4KQ8VO6
Drakenstein Ward 25,4NSOFJG
Acacia Park,4SJWPE0
,4T821GV
Stellenbosch Ward 18,4UAL23D
Cape Town Ward 8,4ZR4GL4
Kewtown,5093ZHY
Cape Town Ward 18,50TVADD
,5AC6YRF
Mowbray,5DHNI4S
Richwood,5HTE1IC
Cape Town Ward 89,5OR8UGL
Montague,5OV4U4C
Cape Town Ward 93,5PYA0N2
Stellenbosch Ward 18,5QOCGMJ
Cape Town Ward 102,5QTO800
Cape Town Ward 76,5VK3U7Q
Kewtown,5XWBAKZ
Cape Town Ward 3,5Y5V87D
,64QSPWU
Cape Town Ward 102,68KOZH6
Cape Town Ward 11,6A90XDM
Cape Town Ward 115,6BNXT5I
Cape Town Ward 13,6BYSPD6
Cape Town Ward 100,6CP0S10
Drakenstein Ward 28,6E6M9NN
Cape Town Ward 8,6EAJWW6
Stellenbosch Ward 18,6K0F6S9
Tyger Valley,6LJRHZ3
Cape Town Ward 40,6OTRJQF
Cape Town Ward 109,6Q68JYJ
Cape Town Ward 8,6SV0XZ0
Drakenstein Ward 27,6VRO5T2
Zonnebloem,70OVULT
Cape Town Ward 96,71YNY81
Cape Town Ward 93,727J2TV
Cape Town Ward 12,74A6FL0
Brooklyn,74CTTH5
Paarden Eiland,75BPNAM
Richwood,77YRHPV
Cape Town Ward 13,792705Z
Cape Town Ward 31,7AKUBY4
Cape Town Ward 31,7EHES8A
Northgate,7HICT0R
Cape Town Ward 15,7O594ZJ
Hazendal,7PRTR79
Cape Town Ward 115,7QBQK9L
Cape Town Ward 101,7T2W8WU
Cape Town Ward 52,7YTZ0EM
Du Noon,812PNMZ
Mowbray,87QMHBI
Summer Greens,87Z5O7Q
Cape Town Ward 106,89VZ0E3
Drakenstein Ward 27,8EI7FOX
Cape Town Ward 36,8FBHDH2
Avondale,8FIZY1M
Milnerton,8ITYQ2Z
Cape Town Ward 15,8LOVJZ3
Cape Town Ward 109,8LSZDSC
Cape Town Ward 55,8MX4B9C
Kewtown,8PA0RQ9
Cape Town Ward 96,8PK91S2
Cape Town Ward 102,8SB405D
Cape Town Ward 115,8VPPU5N
Cape Town Ward 101,8WHR0ZV
Cape Town Ward 101,8YJIRQ2
